pair_index,image1,image2,t_gt_sq_magnitude,r_gt_magnitude,skipping_frame,inliers,match_coverage,method,rotation_error,translation_error
0,rgb/1305031922.833262.png,rgb/1305031923.165168.png,0.00143046,8.05907,10,97,0.484375,FNS,0.701118,55.8522
1,rgb/1305031923.001054.png,rgb/1305031923.333169.png,0.00209097,8.60407,10,206,0.59375,FNS,1.80402,85.8941
2,rgb/1305031923.165168.png,rgb/1305031923.501145.png,0.00428957,10.797,10,100,0.484375,FNS,1.29995,20.5295
3,rgb/1305031923.333169.png,rgb/1305031923.665141.png,0.0103755,9.49865,10,74,0.375,FNS,1.00331,9.95336
4,rgb/1305031923.501145.png,rgb/1305031923.833045.png,0.0173095,5.68067,10,44,0.25,FNS,1.74134,18.4911
5,rgb/1305031923.665141.png,rgb/1305031924.001096.png,0.0224645,3.26321,10,109,0.4375,FNS,2.82712,29.5489
6,rgb/1305031923.833045.png,rgb/1305031924.165591.png,0.0252548,3.58236,10,65,0.265625,FNS,0.88445,2.69088
7,rgb/1305031924.001096.png,rgb/1305031924.333113.png,0.0228253,1.7546,10,81,0.375,FNS,0.917313,10.3439
8,rgb/1305031924.165591.png,rgb/1305031924.501116.png,0.0210109,6.16248,10,55,0.34375,FNS,1.29268,3.9214
9,rgb/1305031924.333113.png,rgb/1305031924.665187.png,0.0179383,9.15603,10,118,0.546875,FNS,0.137248,3.3501
10,rgb/1305031924.501116.png,rgb/1305031924.833187.png,0.0126322,7.65543,10,106,0.5625,FNS,4.69214,48.2804
11,rgb/1305031924.665187.png,rgb/1305031925.001103.png,0.0117951,3.24671,10,206,0.578125,FNS,0.317501,3.47687
12,rgb/1305031924.833187.png,rgb/1305031925.169080.png,0.0124542,2.81678,10,228,0.59375,FNS,4.89251,57.0307
13,rgb/1305031925.001103.png,rgb/1305031925.333142.png,0.0119057,3.29497,10,117,0.5,FNS,0.535348,14.7088
14,rgb/1305031925.169080.png,rgb/1305031925.501267.png,0.0145058,3.1949,10,143,0.53125,FNS,0.741246,8.2828
15,rgb/1305031925.333142.png,rgb/1305031925.669137.png,0.0182741,3.79283,10,117,0.53125,FNS,0.706864,14.2109
16,rgb/1305031925.501267.png,rgb/1305031925.833148.png,0.0174846,5.74691,10,50,0.421875,FNS,1.41868,24.6609
17,rgb/1305031925.669137.png,rgb/1305031926.001186.png,0.0170458,8.71425,10,125,0.40625,FNS,21.6074,77.2032
18,rgb/1305031925.833148.png,rgb/1305031926.169101.png,0.019516,9.03534,10,41,0.265625,FNS,7.16503,51.7689
19,rgb/1305031926.001186.png,rgb/1305031926.333164.png,0.0216065,7.41252,10,55,0.375,FNS,1.12315,16.4372
20,rgb/1305031926.169101.png,rgb/1305031926.501075.png,0.021931,10.3016,10,85,0.40625,FNS,0.699488,8.10017
