pair_index,image1,image2,t_gt_sq_magnitude,r_gt_magnitude,skipping_frame,inliers,match_coverage,method,rotation_error,translation_error
0,rgb/1305031922.833262.png,rgb/1305031923.165168.png,0.00143046,8.05907,10,95,0.484375,FNS,1.13314,72.6644
1,rgb/1305031923.001054.png,rgb/1305031923.333169.png,0.00209097,8.60407,10,208,0.5625,FNS,179.809,76.1641
2,rgb/1305031923.165168.png,rgb/1305031923.501145.png,0.00428957,10.797,10,88,0.421875,FNS,1.10009,24.6189
3,rgb/1305031923.333169.png,rgb/1305031923.665141.png,0.0103755,9.49865,10,66,0.296875,FNS,1.04669,2.32831
4,rgb/1305031923.501145.png,rgb/1305031923.833045.png,0.0173095,5.68067,10,40,0.203125,FNS,1.57744,15.0126
5,rgb/1305031923.665141.png,rgb/1305031924.001096.png,0.0224645,3.26321,10,99,0.359375,FNS,3.46474,38.989
6,rgb/1305031923.833045.png,rgb/1305031924.165591.png,0.0252548,3.58236,10,66,0.265625,FNS,3.04184,47.5592
7,rgb/1305031924.001096.png,rgb/1305031924.333113.png,0.0228253,1.7546,10,80,0.375,FNS,0.622226,5.42264
8,rgb/1305031924.165591.png,rgb/1305031924.501116.png,0.0210109,6.16248,10,46,0.28125,FNS,1.99643,12.2576
9,rgb/1305031924.333113.png,rgb/1305031924.665187.png,0.0179383,9.15603,10,116,0.546875,FNS,0.308855,0.802852
10,rgb/1305031924.501116.png,rgb/1305031924.833187.png,0.0126322,7.65543,10,104,0.5625,FNS,3.65706,39.5506
11,rgb/1305031924.665187.png,rgb/1305031925.001103.png,0.0117951,3.24671,10,207,0.53125,FNS,1.42099,14.2796
12,rgb/1305031924.833187.png,rgb/1305031925.169080.png,0.0124542,2.81678,10,208,0.515625,FNS,0.719018,10.813
13,rgb/1305031925.001103.png,rgb/1305031925.333142.png,0.0119057,3.29497,10,113,0.453125,FNS,0.636837,1.14393
14,rgb/1305031925.169080.png,rgb/1305031925.501267.png,0.0145058,3.1949,10,134,0.46875,FNS,0.661086,6.82308
15,rgb/1305031925.333142.png,rgb/1305031925.669137.png,0.0182741,3.79283,10,104,0.453125,FNS,1.22138,7.76144
