pair_index,image1,image2,t_gt_sq_magnitude,r_gt_magnitude,skipping_frame,inliers,match_coverage,method,rotation_error,translation_error
0,rgb/1305031922.833262.png,rgb/1305031923.165168.png,0.00143046,8.05907,10,97,0.46875,FNS,1.21258,115.929
1,rgb/1305031923.001054.png,rgb/1305031923.333169.png,0.00209097,8.60407,10,208,0.59375,FNS,1.6894,137.215
2,rgb/1305031923.165168.png,rgb/1305031923.501145.png,0.00428957,10.797,10,103,0.5,FNS,1.0405,21.8215
3,rgb/1305031923.333169.png,rgb/1305031923.665141.png,0.0103755,9.49865,10,69,0.328125,FNS,0.743404,3.83575
4,rgb/1305031923.501145.png,rgb/1305031923.833045.png,0.0173095,5.68067,10,44,0.25,FNS,0.787095,5.26985
5,rgb/1305031923.665141.png,rgb/1305031924.001096.png,0.0224645,3.26321,10,106,0.453125,FNS,0.366997,2.98683
6,rgb/1305031923.833045.png,rgb/1305031924.165591.png,0.0252548,3.58236,10,66,0.28125,FNS,0.641203,0.805077
7,rgb/1305031924.001096.png,rgb/1305031924.333113.png,0.0228253,1.7546,10,80,0.375,FNS,0.454568,2.90933
8,rgb/1305031924.165591.png,rgb/1305031924.501116.png,0.0210109,6.16248,10,57,0.34375,FNS,1.35682,1.89042
9,rgb/1305031924.333113.png,rgb/1305031924.665187.png,0.0179383,9.15603,10,114,0.5625,FNS,0.406419,0.13234
10,rgb/1305031924.501116.png,rgb/1305031924.833187.png,0.0126322,7.65543,10,114,0.59375,FNS,4.06385,41.4089
11,rgb/1305031924.665187.png,rgb/1305031925.001103.png,0.0117951,3.24671,10,211,0.609375,FNS,0.145042,1.30779
12,rgb/1305031924.833187.png,rgb/1305031925.169080.png,0.0124542,2.81678,10,218,0.578125,FNS,0.34695,1.69215
13,rgb/1305031925.001103.png,rgb/1305031925.333142.png,0.0119057,3.29497,10,117,0.4375,FNS,1.40346,4.91798
14,rgb/1305031925.169080.png,rgb/1305031925.501267.png,0.0145058,3.1949,10,146,0.515625,FNS,0.695389,8.38284
15,rgb/1305031925.333142.png,rgb/1305031925.669137.png,0.0182741,3.79283,10,119,0.515625,FNS,4.71593,62.4869
16,rgb/1305031925.501267.png,rgb/1305031925.833148.png,0.0174846,5.74691,10,51,0.421875,FNS,2.21694,65.2708
17,rgb/1305031925.669137.png,rgb/1305031926.001186.png,0.0170458,8.71425,10,119,0.375,FNS,0.428859,4.47625
18,rgb/1305031925.833148.png,rgb/1305031926.169101.png,0.019516,9.03534,10,41,0.265625,FNS,4.63846,51.2656
19,rgb/1305031926.001186.png,rgb/1305031926.333164.png,0.0216065,7.41252,10,57,0.390625,FNS,0.632418,12.9486
20,rgb/1305031926.169101.png,rgb/1305031926.501075.png,0.021931,10.3016,10,92,0.453125,FNS,1.45227,6.99341
21,rgb/1305031926.333164.png,rgb/1305031926.669140.png,0.0173606,13.1966,10,122,0.484375,FNS,0.360049,5.13318
22,rgb/1305031926.501075.png,rgb/1305031926.833209.png,0.00878498,16.6346,10,51,0.3125,FNS,1.13947,7.23468
23,rgb/1305031926.669140.png,rgb/1305031927.001575.png,0.00571603,23.6923,10,40,0.203125,FNS,4.06653,32.3643
24,rgb/1305031926.833209.png,rgb/1305031927.169161.png,0.00753086,26.331,10,27,0.203125,FNS,0.950346,44.5876
25,rgb/1305031927.001575.png,rgb/1305031927.333139.png,0.00989726,19.7514,10,22,0.15625,FNS,1.07305,25.0716
26,rgb/1305031927.169161.png,rgb/1305031927.501136.png,0.0124625,15.0361,10,31,0.21875,FNS,177.003,105.648
27,rgb/1305031927.333139.png,rgb/1305031927.669158.png,0.0122313,8.66477,10,53,0.3125,FNS,3.173,67.7813
28,rgb/1305031927.501136.png,rgb/1305031927.833282.png,0.0109453,8.37162,10,112,0.515625,FNS,0.739729,6.45458
29,rgb/1305031927.669158.png,rgb/1305031928.001134.png,0.0164513,5.52344,10,159,0.53125,FNS,1.10686,3.22274
