pair_index,image1,image2,t_gt_sq_magnitude,skipping_frame,method,rotation_error,translation_error
0,rgb/1305031922.833262.png,rgb/1305031923.001054.png,0.0002663,5,FNS,0.60239,79.6884
1,rgb/1305031923.001054.png,rgb/1305031923.165168.png,0.00046586,5,FNS,0.956563,71.8101
2,rgb/1305031923.165168.png,rgb/1305031923.333169.png,0.00059941,5,FNS,1.08279,130.408
3,rgb/1305031923.333169.png,rgb/1305031923.501145.png,0.00173048,5,FNS,1.89066,14.2196
4,rgb/1305031923.501145.png,rgb/1305031923.665141.png,0.00384227,5,FNS,1.41645,10.9826
5,rgb/1305031923.665141.png,rgb/1305031923.833045.png,0.00493401,5,FNS,0.265011,1.36149
6,rgb/1305031923.833045.png,rgb/1305031924.001096.png,0.00642246,5,FNS,2.23698,45.1646
7,rgb/1305031924.001096.png,rgb/1305031924.165591.png,0.00624477,5,FNS,1.22418,10.2107
8,rgb/1305031924.165591.png,rgb/1305031924.333113.png,0.00520082,5,FNS,0.507321,2.9609
9,rgb/1305031924.333113.png,rgb/1305031924.501116.png,0.00536203,5,FNS,0.641412,1.00407
10,rgb/1305031924.501116.png,rgb/1305031924.665187.png,0.00368585,5,FNS,1.98327,42.9879
11,rgb/1305031924.665187.png,rgb/1305031924.833187.png,0.00273466,5,FNS,0.549473,2.71601
12,rgb/1305031924.833187.png,rgb/1305031925.001103.png,0.00325256,5,FNS,0.579924,2.99346
13,rgb/1305031925.001103.png,rgb/1305031925.169080.png,0.0030156,5,FNS,0.237947,0.686943
14,rgb/1305031925.169080.png,rgb/1305031925.333142.png,0.00293997,5,FNS,1.90985,42.3243
15,rgb/1305031925.333142.png,rgb/1305031925.501267.png,0.00447133,5,FNS,0.947945,12.9225
16,rgb/1305031925.501267.png,rgb/1305031925.669137.png,0.00491139,5,FNS,0.80922,7.03149
17,rgb/1305031925.669137.png,rgb/1305031925.833148.png,0.00392854,5,FNS,1.03752,15.87
18,rgb/1305031925.833148.png,rgb/1305031926.001186.png,0.00462219,5,FNS,0.212739,2.56589
19,rgb/1305031926.001186.png,rgb/1305031926.169101.png,0.00530206,5,FNS,0.740658,4.9799
20,rgb/1305031926.169101.png,rgb/1305031926.333164.png,0.00555221,5,FNS,0.35761,1.6742
21,rgb/1305031926.333164.png,rgb/1305031926.501075.png,0.00554102,5,FNS,1.31937,39.2819
22,rgb/1305031926.501075.png,rgb/1305031926.669140.png,0.00334461,5,FNS,2.12534,62.225
23,rgb/1305031926.669140.png,rgb/1305031926.833209.png,0.00134051,5,FNS,0.582693,11.2942
24,rgb/1305031926.833209.png,rgb/1305031927.001575.png,0.00161172,5,FNS,0.376381,41.5649
25,rgb/1305031927.001575.png,rgb/1305031927.169161.png,0.0022413,5,FNS,1.46448,16.6601
26,rgb/1305031927.169161.png,rgb/1305031927.333139.png,0.00273646,5,FNS,1.90112,57.0759
27,rgb/1305031927.333139.png,rgb/1305031927.501136.png,0.00352973,5,FNS,1.23643,35.7944
28,rgb/1305031927.501136.png,rgb/1305031927.669158.png,0.00262358,5,FNS,2.31746,82.2379
29,rgb/1305031927.669158.png,rgb/1305031927.833282.png,0.00293572,5,FNS,3.94199,86.5862
30,rgb/1305031927.833282.png,rgb/1305031928.001134.png,0.00559325,5,FNS,0.586645,13.6243
31,rgb/1305031928.001134.png,rgb/1305031928.169018.png,0.00616026,5,FNS,0.681752,13.8474
32,rgb/1305031928.169018.png,rgb/1305031928.333609.png,0.00418094,5,FNS,2.51283,94.8786
33,rgb/1305031928.333609.png,rgb/1305031928.501428.png,0.00341198,5,FNS,1.8064,76.5423
34,rgb/1305031928.501428.png,rgb/1305031928.669146.png,0.00227,5,FNS,1.39581,27.1294
35,rgb/1305031928.669146.png,rgb/1305031928.833193.png,0.00169586,5,FNS,0.956073,21.2154
36,rgb/1305031928.833193.png,rgb/1305031929.001155.png,0.00235674,5,FNS,2.38184,127.084
37,rgb/1305031929.001155.png,rgb/1305031929.169204.png,0.00316685,5,FNS,1.31595,45.3096
