pair_index,image1,image2,t_gt_sq_magnitude,r_gt_magnitude,skipping_frame,inliers,match_coverage,method,rotation_error,translation_error
0,rgb/1305031922.833262.png,rgb/1305031923.165168.png,0.00143046,8.05907,10,97,0.484375,FNS,1.13307,82.8718
1,rgb/1305031923.001054.png,rgb/1305031923.333169.png,0.00209097,8.60407,10,211,0.59375,FNS,1.68468,136.595
2,rgb/1305031923.165168.png,rgb/1305031923.501145.png,0.00428957,10.797,10,97,0.46875,FNS,1.46573,25.0624
3,rgb/1305031923.333169.png,rgb/1305031923.665141.png,0.0103755,9.49865,10,75,0.375,FNS,0.715416,4.65005
4,rgb/1305031923.501145.png,rgb/1305031923.833045.png,0.0173095,5.68067,10,43,0.234375,FNS,2.6005,33.4646
5,rgb/1305031923.665141.png,rgb/1305031924.001096.png,0.0224645,3.26321,10,105,0.453125,FNS,177.907,24.1872
6,rgb/1305031923.833045.png,rgb/1305031924.165591.png,0.0252548,3.58236,10,65,0.265625,FNS,0.670051,0.423844
7,rgb/1305031924.001096.png,rgb/1305031924.333113.png,0.0228253,1.7546,10,78,0.359375,FNS,1.27418,9.80715
8,rgb/1305031924.165591.png,rgb/1305031924.501116.png,0.0210109,6.16248,10,53,0.328125,FNS,1.24371,2.71233
9,rgb/1305031924.333113.png,rgb/1305031924.665187.png,0.0179383,9.15603,10,118,0.5625,FNS,0.314971,1.24297
10,rgb/1305031924.501116.png,rgb/1305031924.833187.png,0.0126322,7.65543,10,113,0.59375,FNS,3.22216,47.3097
11,rgb/1305031924.665187.png,rgb/1305031925.001103.png,0.0117951,3.24671,10,211,0.609375,FNS,0.124198,1.04387
12,rgb/1305031924.833187.png,rgb/1305031925.169080.png,0.0124542,2.81678,10,225,0.59375,FNS,0.376428,2.55537
13,rgb/1305031925.001103.png,rgb/1305031925.333142.png,0.0119057,3.29497,10,119,0.46875,FNS,0.886944,3.93531
14,rgb/1305031925.169080.png,rgb/1305031925.501267.png,0.0145058,3.1949,10,143,0.5,FNS,0.677771,5.79395
15,rgb/1305031925.333142.png,rgb/1305031925.669137.png,0.0182741,3.79283,10,113,0.5,FNS,1.04897,10.9567
16,rgb/1305031925.501267.png,rgb/1305031925.833148.png,0.0174846,5.74691,10,50,0.40625,FNS,5.30922,84.3813
17,rgb/1305031925.669137.png,rgb/1305031926.001186.png,0.0170458,8.71425,10,119,0.375,FNS,0.400215,4.04518
18,rgb/1305031925.833148.png,rgb/1305031926.169101.png,0.019516,9.03534,10,41,0.265625,FNS,4.61863,46.3911
19,rgb/1305031926.001186.png,rgb/1305031926.333164.png,0.0216065,7.41252,10,56,0.375,FNS,0.641116,12.4859
20,rgb/1305031926.169101.png,rgb/1305031926.501075.png,0.021931,10.3016,10,89,0.453125,FNS,0.759764,4.43724
21,rgb/1305031926.333164.png,rgb/1305031926.669140.png,0.0173606,13.1966,10,120,0.484375,FNS,0.369092,3.82109
22,rgb/1305031926.501075.png,rgb/1305031926.833209.png,0.00878498,16.6346,10,51,0.3125,FNS,1.14013,7.24889
23,rgb/1305031926.669140.png,rgb/1305031927.001575.png,0.00571603,23.6923,10,40,0.203125,FNS,63.1199,65.7166
24,rgb/1305031926.833209.png,rgb/1305031927.169161.png,0.00753086,26.331,10,27,0.203125,FNS,0.851499,87.5074
25,rgb/1305031927.001575.png,rgb/1305031927.333139.png,0.00989726,19.7514,10,21,0.15625,FNS,4.67492,124.108
26,rgb/1305031927.169161.png,rgb/1305031927.501136.png,0.0124625,15.0361,10,31,0.21875,FNS,176.073,97.6583
27,rgb/1305031927.333139.png,rgb/1305031927.669158.png,0.0122313,8.66477,10,52,0.3125,FNS,3.50948,74.6941
28,rgb/1305031927.501136.png,rgb/1305031927.833282.png,0.0109453,8.37162,10,112,0.515625,FNS,0.449194,4.42766
29,rgb/1305031927.669158.png,rgb/1305031928.001134.png,0.0164513,5.52344,10,157,0.515625,FNS,2.90988,58.5835
30,rgb/1305031927.833282.png,rgb/1305031928.169018.png,0.0234398,1.9644,10,92,0.46875,FNS,0.299829,7.79434
31,rgb/1305031928.001134.png,rgb/1305031928.333609.png,0.0204366,5.3312,10,91,0.421875,FNS,0.647461,7.86406
32,rgb/1305031928.169018.png,rgb/1305031928.501428.png,0.0149897,13.6033,10,43,0.25,FNS,1.95273,37.5272
33,rgb/1305031928.333609.png,rgb/1305031928.669146.png,0.0108645,19.8461,10,15,0.140625,FNS,3.35183,100.909
34,rgb/1305031928.501428.png,rgb/1305031928.833193.png,0.00730246,19.4144,10,26,0.203125,FNS,177.137,56.8569
35,rgb/1305031928.669146.png,rgb/1305031929.001155.png,0.00783974,19.223,10,57,0.296875,FNS,4.41658,120.893
36,rgb/1305031928.833193.png,rgb/1305031929.169204.png,0.0109313,21.7502,10,20,0.140625,FNS,3.51927,54.8385
37,rgb/1305031929.001155.png,rgb/1305031929.333529.png,0.0130959,21.9697,10,18,0.140625,FNS,5.01995,48.5248
38,rgb/1305031929.169204.png,rgb/1305031929.501198.png,0.013922,18.193,10,10,0.078125,FNS,178.568,53.4851
39,rgb/1305031929.333529.png,rgb/1305031929.669287.png,0.0142619,14.5507,10,23,0.203125,FNS,1.28616,28.4342
40,rgb/1305031929.501198.png,rgb/1305031929.833358.png,0.0120452,11.5947,10,57,0.390625,FNS,2.00756,38.5414
41,rgb/1305031929.669287.png,rgb/1305031930.001350.png,0.00700406,8.36587,10,61,0.453125,FNS,1.88152,9.27471
42,rgb/1305031929.833358.png,rgb/1305031930.169117.png,0.00327106,2.78877,10,101,0.609375,FNS,0.645528,64.9283
43,rgb/1305031930.001350.png,rgb/1305031930.333138.png,0.00562677,9.33049,10,50,0.375,FNS,1.76661,41.8701
44,rgb/1305031930.169117.png,rgb/1305031930.501044.png,0.00967601,14.4445,10,32,0.265625,FNS,2.39483,99.1374
45,rgb/1305031930.333138.png,rgb/1305031930.668925.png,0.00947621,16.1897,10,19,0.203125,FNS,2.70519,86.8036
46,rgb/1305031930.501044.png,rgb/1305031930.833091.png,0.0085635,15.1459,10,43,0.34375,FNS,1.76334,72.6744
47,rgb/1305031930.668925.png,rgb/1305031931.000795.png,0.00874526,13.6918,10,111,0.421875,FNS,2.37348,99.1183
48,rgb/1305031930.833091.png,rgb/1305031931.168900.png,0.00793214,15.0749,10,66,0.421875,FNS,1.99278,116.274
49,rgb/1305031931.000795.png,rgb/1305031931.332991.png,0.00589389,18.1627,10,42,0.25,FNS,2.3648,8.5694
50,rgb/1305031931.168900.png,rgb/1305031931.500852.png,0.00443849,18.9571,10,68,0.34375,FNS,1.36073,24.0038
51,rgb/1305031931.332991.png,rgb/1305031931.669064.png,0.00519869,14.8053,10,42,0.25,FNS,2.75739,54.8505
52,rgb/1305031931.500852.png,rgb/1305031931.832926.png,0.00836426,9.18173,10,82,0.375,FNS,0.434844,9.12231
53,rgb/1305031931.669064.png,rgb/1305031932.000829.png,0.0101836,7.5367,10,170,0.4375,FNS,0.407492,10.5215
54,rgb/1305031931.832926.png,rgb/1305031932.169077.png,0.00925437,7.19029,10,82,0.4375,FNS,4.32682,55.6532
55,rgb/1305031932.000829.png,rgb/1305031932.333175.png,0.00846651,5.48666,10,126,0.4375,FNS,0.594695,9.47308
56,rgb/1305031932.169077.png,rgb/1305031932.500893.png,0.0104292,10.3813,10,72,0.328125,FNS,1.82374,33.9776
57,rgb/1305031932.333175.png,rgb/1305031932.669236.png,0.0115481,13.8368,10,54,0.34375,FNS,1.53429,11.465
58,rgb/1305031932.500893.png,rgb/1305031932.832891.png,0.0102261,15.873,10,53,0.390625,FNS,0.802256,5.83698
59,rgb/1305031932.669236.png,rgb/1305031933.001958.png,0.00947766,13.8433,10,37,0.328125,FNS,14.6511,106.735
60,rgb/1305031932.832891.png,rgb/1305031933.169450.png,0.00764474,7.20571,10,28,0.125,FNS,167.484,137.724
61,rgb/1305031933.001958.png,rgb/1305031933.332881.png,0.00322702,9.79814,10,112,0.546875,FNS,1.32869,25.7714
62,rgb/1305031933.169450.png,rgb/1305031933.500809.png,0.000725,9.82944,10,161,0.546875,FNS,0.567317,78.0316
63,rgb/1305031933.332881.png,rgb/1305031933.669114.png,0.00118169,13.2746,10,78,0.484375,FNS,0.249466,48.8184
64,rgb/1305031933.500809.png,rgb/1305031933.833132.png,0.00297475,17.0985,10,91,0.453125,FNS,1.69385,72.5485
65,rgb/1305031933.669114.png,rgb/1305031934.000841.png,0.00607838,14.4325,10,44,0.375,FNS,2.2065,52.0085
66,rgb/1305031933.833132.png,rgb/1305031934.169177.png,0.0106802,10.4833,10,86,0.4375,FNS,177.341,66.6376
