pair_index,image1,image2,t_gt_sq_magnitude,skipping_frame,method,rotation_error,translation_error
0,rgb/1305031922.833262.png,rgb/1305031923.233162.png,0.00207797,12,FNS,1.12024,3.24668
1,rgb/1305031923.001054.png,rgb/1305031923.401139.png,0.00365675,12,FNS,1.32365,17.5007
2,rgb/1305031923.165168.png,rgb/1305031923.565198.png,0.00751355,12,FNS,1.26691,23.1647
3,rgb/1305031923.333169.png,rgb/1305031923.733145.png,0.0162233,12,FNS,1.87289,17.554
4,rgb/1305031923.501145.png,rgb/1305031923.901121.png,0.0266909,12,FNS,3.39189,53.4878
5,rgb/1305031923.665141.png,rgb/1305031924.065224.png,0.0335495,12,FNS,1.04011,6.57377
6,rgb/1305031923.833045.png,rgb/1305031924.233238.png,0.0343989,12,FNS,4.09245,32.6082
7,rgb/1305031924.001096.png,rgb/1305031924.401095.png,0.0333318,12,FNS,0.825202,0.603618
8,rgb/1305031924.165591.png,rgb/1305031924.565264.png,0.0293569,12,FNS,2.92036,6.68738
9,rgb/1305031924.333113.png,rgb/1305031924.733166.png,0.0235148,12,FNS,0.433324,1.31906
10,rgb/1305031924.501116.png,rgb/1305031924.901110.png,0.0181201,12,FNS,1.34919,0.993796
11,rgb/1305031924.665187.png,rgb/1305031925.069090.png,0.0173132,12,FNS,0.598624,1.45057
12,rgb/1305031924.833187.png,rgb/1305031925.233193.png,0.0171424,12,FNS,0.769808,15.3196
13,rgb/1305031925.001103.png,rgb/1305031925.401456.png,0.0184572,12,FNS,0.644751,2.94692
14,rgb/1305031925.169080.png,rgb/1305031925.569132.png,0.0220351,12,FNS,1.45247,6.7412
15,rgb/1305031925.333142.png,rgb/1305031925.733167.png,0.0249973,12,FNS,0.464836,3.65446
16,rgb/1305031925.501267.png,rgb/1305031925.901176.png,0.0254963,12,FNS,2.88522,11.5396
17,rgb/1305031925.669137.png,rgb/1305031926.069077.png,0.025299,12,FNS,0.30252,1.99585
18,rgb/1305031925.833148.png,rgb/1305031926.233134.png,0.0278197,12,FNS,0.731129,20.7971
19,rgb/1305031926.001186.png,rgb/1305031926.401166.png,0.0319497,12,FNS,1.09485,14.1743
20,rgb/1305031926.169101.png,rgb/1305031926.569122.png,0.0303781,12,FNS,0.997429,0.995437
21,rgb/1305031926.333164.png,rgb/1305031926.733207.png,0.0214039,12,FNS,1.26359,6.26342
22,rgb/1305031926.501075.png,rgb/1305031926.901097.png,0.011855,12,FNS,2.53347,24.9047
23,rgb/1305031926.669140.png,rgb/1305031927.070528.png,0.00879048,12,FNS,3.19771,24.4527
24,rgb/1305031926.833209.png,rgb/1305031927.233491.png,0.0110833,12,FNS,1.31569,38.4951
25,rgb/1305031927.001575.png,rgb/1305031927.401161.png,0.0154483,12,FNS,41.4902,65.3812
26,rgb/1305031927.169161.png,rgb/1305031927.569225.png,0.0177163,12,FNS,178.09,90.0083
27,rgb/1305031927.333139.png,rgb/1305031927.733219.png,0.0166681,12,FNS,2.38694,25.0734
28,rgb/1305031927.501136.png,rgb/1305031927.901130.png,0.0175893,12,FNS,1.37414,16.971
29,rgb/1305031927.669158.png,rgb/1305031928.069125.png,0.0259696,12,FNS,0.752708,3.47865
30,rgb/1305031927.833282.png,rgb/1305031928.233133.png,0.0319969,12,FNS,1.02595,13.6401
31,rgb/1305031928.001134.png,rgb/1305031928.401116.png,0.0281054,12,FNS,0.765945,13.8585
32,rgb/1305031928.169018.png,rgb/1305031928.569299.png,0.0203348,12,FNS,2.0198,43.4441
33,rgb/1305031928.333609.png,rgb/1305031928.733185.png,0.0137574,12,FNS,13.5081,79.5324
34,rgb/1305031928.501428.png,rgb/1305031928.901197.png,0.0104163,12,FNS,9.51066,91.7522
35,rgb/1305031928.669146.png,rgb/1305031929.069089.png,0.0121065,12,FNS,4.99903,131.557
36,rgb/1305031928.833193.png,rgb/1305031929.233293.png,0.0158938,12,FNS,5.02938,51.3299
37,rgb/1305031929.001155.png,rgb/1305031929.401369.png,0.0191993,12,FNS,99.8884,71.988
38,rgb/1305031929.169204.png,rgb/1305031929.569172.png,0.0199462,12,FNS,98.3309,66.4431
39,rgb/1305031929.333529.png,rgb/1305031929.733617.png,0.0193975,12,FNS,94.1609,120.395
40,rgb/1305031929.501198.png,rgb/1305031929.901292.png,0.0159915,12,FNS,1.5166,5.43305
41,rgb/1305031929.669287.png,rgb/1305031930.069293.png,0.00825725,12,FNS,3.42661,13.0488
42,rgb/1305031929.833358.png,rgb/1305031930.233355.png,0.0044843,12,FNS,1.61981,61.2177
43,rgb/1305031930.001350.png,rgb/1305031930.401077.png,0.00942449,12,FNS,2.22745,65.462
44,rgb/1305031930.169117.png,rgb/1305031930.569007.png,0.0137048,12,FNS,2.67418,87.3848
45,rgb/1305031930.333138.png,rgb/1305031930.733195.png,0.0128428,12,FNS,3.14072,96.101
46,rgb/1305031930.501044.png,rgb/1305031930.900829.png,0.0124984,12,FNS,2.42402,89.9221
47,rgb/1305031930.668925.png,rgb/1305031931.068905.png,0.0125039,12,FNS,0.289758,13.6153
48,rgb/1305031930.833091.png,rgb/1305031931.233053.png,0.0105353,12,FNS,2.46302,76.366
49,rgb/1305031931.000795.png,rgb/1305031931.401337.png,0.00809657,12,FNS,2.83815,30.8471
50,rgb/1305031931.168900.png,rgb/1305031931.569726.png,0.0063221,12,FNS,2.09726,89.7882
51,rgb/1305031931.332991.png,rgb/1305031931.732985.png,0.0078926,12,FNS,1.70382,30.328
52,rgb/1305031931.500852.png,rgb/1305031931.900957.png,0.0129675,12,FNS,7.4087,86.8952
53,rgb/1305031931.669064.png,rgb/1305031932.068920.png,0.014393,12,FNS,0.969252,17.3611
54,rgb/1305031931.832926.png,rgb/1305031932.232821.png,0.0125459,12,FNS,0.779381,10.7167
55,rgb/1305031932.000829.png,rgb/1305031932.401680.png,0.0126751,12,FNS,1.5432,24.9892
56,rgb/1305031932.169077.png,rgb/1305031932.568972.png,0.0154965,12,FNS,2.37154,36.3873
57,rgb/1305031932.333175.png,rgb/1305031932.732848.png,0.0155583,12,FNS,0.498134,19.8565
58,rgb/1305031932.500893.png,rgb/1305031932.901214.png,0.0147198,12,FNS,4.90458,124.579
59,rgb/1305031932.669236.png,rgb/1305031933.068879.png,0.0133396,12,FNS,6.38424,83.6864
60,rgb/1305031932.832891.png,rgb/1305031933.233374.png,0.00920534,12,FNS,2.80355,15.5266
61,rgb/1305031933.001958.png,rgb/1305031933.400926.png,0.00347926,12,FNS,1.21362,27.2217
62,rgb/1305031933.169450.png,rgb/1305031933.568861.png,0.00089614,12,FNS,0.250878,20.4942
63,rgb/1305031933.332881.png,rgb/1305031933.732901.png,0.00199926,12,FNS,1.69138,100.656
64,rgb/1305031933.500809.png,rgb/1305031933.900942.png,0.00509725,12,FNS,2.42341,39.2912
65,rgb/1305031933.669114.png,rgb/1305031934.068946.png,0.00997038,12,FNS,2.46501,48.7403
66,rgb/1305031933.833132.png,rgb/1305031934.232870.png,0.0158899,12,FNS,2.96683,44.7658
67,rgb/1305031934.000841.png,rgb/1305031934.400928.png,0.0219668,12,FNS,2.23971,22.4569
68,rgb/1305031934.169177.png,rgb/1305031934.569101.png,0.0271171,12,FNS,1.61208,21.5015
69,rgb/1305031934.336871.png,rgb/1305031934.736903.png,0.0323637,12,FNS,5.64724,146.073
70,rgb/1305031934.501241.png,rgb/1305031934.901010.png,0.0380735,12,FNS,5.58098,33.5067
71,rgb/1305031934.668984.png,rgb/1305031935.069722.png,0.0427531,12,FNS,4.15747,10.3249
72,rgb/1305031934.836769.png,rgb/1305031935.237095.png,0.0413465,12,FNS,1.13592,5.73736
73,rgb/1305031935.001270.png,rgb/1305031935.400848.png,0.0351891,12,FNS,5.46295,17.1656
74,rgb/1305031935.169281.png,rgb/1305031935.568783.png,0.0307396,12,FNS,160.102,127.925
75,rgb/1305031935.336810.png,rgb/1305031935.736900.png,0.0316152,12,FNS,5.06757,70.3041
76,rgb/1305031935.500863.png,rgb/1305031935.901144.png,0.0294092,12,FNS,25.9893,104.556
77,rgb/1305031935.669100.png,rgb/1305031936.068809.png,0.0226516,12,FNS,3.60526,94.5683
78,rgb/1305031935.836877.png,rgb/1305031936.237546.png,0.0166881,12,FNS,3.03136,106.631
79,rgb/1305031936.000820.png,rgb/1305031936.400840.png,0.0142409,12,FNS,2.57511,48.5794
80,rgb/1305031936.168897.png,rgb/1305031936.569452.png,0.0133802,12,FNS,2.61869,41.2601
81,rgb/1305031936.336863.png,rgb/1305031936.737504.png,0.0161432,12,FNS,2.00834,20.0539
82,rgb/1305031936.500753.png,rgb/1305031936.900833.png,0.0265747,12,FNS,2.2029,68.3081
83,rgb/1305031936.668885.png,rgb/1305031937.068765.png,0.0405562,12,FNS,91.5907,128.224
84,rgb/1305031936.836845.png,rgb/1305031937.236893.png,0.0415152,12,FNS,5.27468,45.2901
85,rgb/1305031937.001118.png,rgb/1305031937.400796.png,0.0306232,12,FNS,4.44053,47.9822
