pair_index,image1,image2,t_gt_sq_magnitude,r_gt_magnitude,skipping_frame,inliers,match_coverage,method,rotation_error,translation_error
0,rgb/1305031922.833262.png,rgb/1305031923.501145.png,0.0101687,18.769,20,33,0.28125,FNS,2.50893,49.3246
1,rgb/1305031923.001054.png,rgb/1305031923.665141.png,0.0201867,17.8086,20,73,0.328125,FNS,0.630666,4.49869
2,rgb/1305031923.165168.png,rgb/1305031923.833045.png,0.0364982,15.8952,20,34,0.234375,FNS,2.62952,18.0227
3,rgb/1305031923.333169.png,rgb/1305031924.001096.png,0.0614527,10.6344,20,36,0.15625,FNS,2.39613,6.69093
4,rgb/1305031923.501145.png,rgb/1305031924.165591.png,0.0828899,6.32825,20,12,0.125,FNS,5.31001,31.6628
5,rgb/1305031923.665141.png,rgb/1305031924.333113.png,0.0901585,3.29599,20,38,0.25,FNS,6.75638,121.433
6,rgb/1305031923.833045.png,rgb/1305031924.501116.png,0.0921615,6.421,20,27,0.21875,FNS,12.8102,73.1698
7,rgb/1305031924.001096.png,rgb/1305031924.665187.png,0.0805741,10.4606,20,23,0.203125,FNS,0.59938,1.37649
8,rgb/1305031924.165591.png,rgb/1305031924.833187.png,0.0661491,12.7531,20,48,0.34375,FNS,1.58663,6.70451
9,rgb/1305031924.333113.png,rgb/1305031925.001103.png,0.0577568,12.3066,20,63,0.484375,FNS,0.450274,1.20152
10,rgb/1305031924.501116.png,rgb/1305031925.169080.png,0.0492624,9.8172,20,64,0.4375,FNS,1.03541,1.62705
11,rgb/1305031924.665187.png,rgb/1305031925.333142.png,0.0469207,5.95917,20,54,0.34375,FNS,1.07845,1.9503
12,rgb/1305031924.833187.png,rgb/1305031925.501267.png,0.0538293,5.53729,20,49,0.375,FNS,1.54733,6.27785
13,rgb/1305031925.001103.png,rgb/1305031925.669137.png,0.058085,1.23707,20,84,0.421875,FNS,0.420133,5.64083
14,rgb/1305031925.169080.png,rgb/1305031925.833148.png,0.0605032,3.21551,20,22,0.21875,FNS,8.48906,51.0793
15,rgb/1305031925.333142.png,rgb/1305031926.001186.png,0.0692958,9.83693,20,23,0.234375,FNS,0.315756,0.232774
16,rgb/1305031925.501267.png,rgb/1305031926.169101.png,0.0736798,14.3207,20,12,0.15625,FNS,11.0647,34.7267
17,rgb/1305031925.669137.png,rgb/1305031926.333164.png,0.074649,15.087,20,5,0.078125,FNS,96.5174,115.29
18,rgb/1305031925.833148.png,rgb/1305031926.501075.png,0.0801829,17.595,20,4,0.0625,FNS,97.9609,119.845
19,rgb/1305031926.001186.png,rgb/1305031926.669140.png,0.0753457,20.1851,20,23,0.203125,FNS,3.23472,20.903
20,rgb/1305031926.169101.png,rgb/1305031926.833209.png,0.0575609,26.6887,20,18,0.140625,FNS,6.14657,31.6657
21,rgb/1305031926.333164.png,rgb/1305031927.001575.png,0.0413145,36.7911,20,30,0.1875,FNS,8.63747,73.557
22,rgb/1305031926.833209.png,rgb/1305031927.501136.png,0.0391627,39.8098,20,6,0.078125,FNS,74.1317,105.918
23,rgb/1305031927.001575.png,rgb/1305031927.669158.png,0.0440167,26.9058,20,12,0.09375,FNS,134.208,110.21
24,rgb/1305031927.169161.png,rgb/1305031927.833282.png,0.04642,17.0469,20,10,0.109375,FNS,10.2024,89.6368
25,rgb/1305031927.333139.png,rgb/1305031928.001134.png,0.0551493,11.388,20,21,0.21875,FNS,2.61534,5.94554
